YEAR,MALE,FEMALE
1981,20350,28517
1982,21752,32201
1983,17816,24665
1984,16970,24581
1985,18409,26860
1986,20408,28930
1987,23921,32429
1988,24625,33395
1989,22807,32938
1990,25400,37749
1991,24719,37745
1992,25128,39026
1993,26211,40179
1994,26180,38351
1995,22550,33692
1996,24446,36467
1997,20936,33123
1998,14629,24380
1999,14657,25850
2000,19907,31124
2001,20313,31741
2002,22329,35391
2003,22233,32904
2004,26141,38783
2005,27333,41695
2006,32259,50708
2007,30877,49722
2008,27839,42961
2009,31793,47925
2010,36287,49788
2011,34563,48847
2012,34076,49564
2013,31288,46940
2014,32368,48321
2015,40079,52919
2016,37036,52318
2017,33741,46038
2018,30390,43329
2019,25165,39999
2020,5928,9775
