YEAR,Single,Married,Widower,Separated,Divorced,Not Reported
1988,31989,23530,2133,134,143,91
1989,30338,23203,1858,98,143,105
1990,33477,27005,2299,127,194,47
1991,31989,27559,2517,186,192,21
1992,33759,27976,2123,131,159,6
1993,33589,29987,2432,148,234,0
1994,32760,28911,2491,149,220,0
1995,29663,24439,1818,158,163,1
1996,29747,28399,2393,182,192,0
1997,24990,26287,2341,172,269,0
1998,18569,18795,1415,103,127,0
1999,19451,19081,1661,135,179,0
2000,25438,23583,1657,154,179,20
2001,24721,24959,1916,233,219,6
2002,28118,27100,2015,179,306,2
2003,26687,26233,1804,172,239,2
2004,32870,29577,1946,208,323,0
2005,34346,32056,2035,239,347,5
2006,40505,39007,2616,303,536,0
2007,40200,36128,3295,318,656,2
2008,35250,32390,2341,264,538,17
2009,41119,34700,2874,347,581,97
2010,47143,35564,2359,380,609,20
2011,44825,35214,2439,338,579,15
2012,43908,35776,2866,401,675,14
2013,41388,33164,2639,368,623,46
2014,45280,32062,2307,345,657,38
2015,52957,36238,2671,350,754,28
2016,50236,35592,2436,305,703,82
2017,46211,30646,1813,329,658,122
2018,40668,30069,1998,277,614,93
2019,36804,25563,1799,261,680,57
2020,8513,6607,349,70,118,46
